iter	Logloss
0	0.6927637297
1	0.6924648348
2	0.6919221682
3	0.6913996757
4	0.6910348145
5	0.6905229951
6	0.6900170785
7	0.689652575
8	0.6891590564
9	0.688772206
10	0.6882559006
11	0.6879190272
12	0.687667233
13	0.6873144431
14	0.6869006158
15	0.6867463163
16	0.6864426136
17	0.6862528828
18	0.6858335066
19	0.6855946074
20	0.6851595709
21	0.6850370901
22	0.6845873094
23	0.6841399053
24	0.6839024912
25	0.6834603369
26	0.6833729777
27	0.6829476909
28	0.6825597126
29	0.6821522039
30	0.682071721
31	0.6817902135
32	0.6815363463
33	0.6811976059
34	0.6808955257
35	0.6805120444
36	0.68029324
37	0.6799330411
38	0.6797416576
39	0.6794645997
40	0.6791313703
41	0.6788943241
42	0.6785079741
43	0.6784651902
44	0.6781524811
45	0.6777741921
46	0.6776644895
47	0.677342173
48	0.6772613164
49	0.6770766101
50	0.6767538486
51	0.6765507198
52	0.6762120296
53	0.6760368628
54	0.6757081415
55	0.675376474
56	0.6751923984
57	0.6751040489
58	0.6747938574
59	0.6744910374
60	0.6743947749
61	0.6741984116
62	0.6739001792
63	0.6738472963
64	0.6735396561
65	0.6733111853
66	0.6732326701
67	0.6730631697
68	0.672831749
69	0.6725890627
70	0.6724473782
71	0.6721587127
72	0.6719926566
73	0.6718515978
74	0.6716125839
75	0.67153159
76	0.671333154
77	0.6711856469
78	0.6709626803
79	0.6707992603
80	0.6707350525
81	0.6705894422
82	0.6703370315
83	0.6702481749
84	0.6701807623
85	0.6700411183
86	0.6698243611
87	0.6696084581
88	0.6694109455
89	0.6691720699
90	0.6691437377
91	0.6690189401
92	0.6689195297
93	0.6687990765
94	0.6687374842
95	0.6686099986
96	0.6683580526
97	0.6682431305
98	0.668130867
99	0.6680109676
100	0.6678898499
101	0.6677818049
102	0.6675760946
103	0.6673839194
104	0.6671443591
105	0.6670207206
106	0.6667891878
107	0.6665829714
108	0.6664729541
109	0.6663495313
110	0.6661326848
111	0.6659937177
112	0.6658320506
113	0.6656329154
114	0.665504785
115	0.6654046384
116	0.6652486949
117	0.6650733231
118	0.6649643753
119	0.6647665196
120	0.6646978014
121	0.6645158041
122	0.6643689406
123	0.6642896027
124	0.664190965
125	0.6640145977
126	0.6638272636
127	0.663706808
128	0.66354385
129	0.6634559664
130	0.6634110218
131	0.66325951
132	0.663110366
133	0.6630872763
134	0.6630661265
135	0.6629171923
136	0.6628088034
137	0.6627301852
138	0.6626370899
139	0.662611849
140	0.6624975932
141	0.6623699941
142	0.6623284815
143	0.6622295767
144	0.6620546789
145	0.6619026273
146	0.6617404659
147	0.6616812445
