Timestamp,Open,High,Low,Close,Volume,SMA,EMA,RSI,MACD,MACD_signal,ATR,BB_width,std_dev,SAR,ADX,SMA_5,EMA_5,RSI_5,MACD_5,SMA_10,EMA_10,RSI_10,MACD_10,SMA_20,EMA_20,RSI_20,MACD_20,SMA_ROC,SMA_Diff,EMA_ROC,EMA_Diff,RSI_ROC,RSI_Diff,MACD_ROC,MACD_Diff
1636070400000,1.2004,1.2015,1.1311,1.1581,318649692.0,,,,,,0.0,,,1.1581,0.0,,,,,,,,,,,,,,,,,,,,
1636156800000,1.1581,1.1828,1.1,1.151,260339849.0,,,,,,0.0,,,1.151,0.0,,,,,,,,,,,,,,,,,,,,
1636243200000,1.1511,1.2374,1.1451,1.2198,371235010.0,,,,,,0.0,,,1.2015,0.0,,,,,,,,,,,,,,,,,,,,
1636329600000,1.2198,1.296,1.2192,1.2815,606055941.0,,,,,,0.0,,,1.1451,0.0,,,,,,,,,,,,,,,,,,,,
1636416000000,1.2815,1.2884,1.2245,1.2571,465127517.0,,,,,,0.0,,,1.1451,0.0,,,,,,,,,,,,,,,,,,,,
1636502400000,1.2572,1.3493,1.1174,1.1902,932520826.0,,,,,,0.0,,,1.296,0.0,,,,,,,,,,,,,,,,,,,,
1636588800000,1.1902,1.2544,1.1764,1.2142,475284132.0,,,,,,0.0,,,1.3493,0.0,,,,,,,,,,,,,,,,,,,,
1636675200000,1.2142,1.2332,1.1542,1.1883,446863355.0,,,,,,0.0,,,1.3493,0.0,,,,,,,,,,,,,,,,,,,,
1636761600000,1.1884,1.2039,1.167,1.1892,240083101.0,,,,,,0.0,,,1.344662,0.0,,,,,,,,,,,,,,,,,,,,
1636848000000,1.1894,1.1995,1.1675,1.1879,192023307.0,,,,,,0.0,,,1.3401167600000001,0.0,,,,,,,,,,,,,,,,,,,,
1636934400000,1.1879,1.2198,1.1651,1.172,266793400.0,,,,,,0.0,,,1.3356624248000002,0.0,,,,,,,,,,,,,,,,,,,,
