Timestamp,Open,High,Low,Close,Volume,SMA,EMA,RSI,MACD,MACD_signal,ATR,BB_width,std_dev,SAR,ADX,SMA_5,EMA_5,RSI_5,MACD_5,SMA_10,EMA_10,RSI_10,MACD_10,SMA_20,EMA_20,RSI_20,MACD_20,SMA_ROC,SMA_Diff,EMA_ROC,EMA_Diff,RSI_ROC,RSI_Diff,MACD_ROC,MACD_Diff
1636070400000,558.8,616.9,554.1,607.3,1989945.5433,,,,,,0.0,,,607.3,0.0,,,,,,,,,,,,,,,,,,,,
1636156800000,607.3,637.8,595.1,637.7,1366385.957,,,,,,0.0,,,637.7,0.0,,,,,,,,,,,,,,,,,,,,
1636243200000,637.7,669.3,630.5,649.6,1476373.2487,,,,,,0.0,,,616.9,0.0,,,,,,,,,,,,,,,,,,,,
1636329600000,649.5,655.7,631.0,653.5,1290096.384,,,,,,0.0,,,630.5,0.0,,,,,,,,,,,,,,,,,,,,
1636416000000,653.6,656.7,631.9,635.0,879119.398,,,,,,0.0,,,630.5,0.0,,,,,,,,,,,,,,,,,,,,
1636502400000,635.0,662.9,573.0,614.1,1814654.086,,,,,,0.0,,,656.7,0.0,,,,,,,,,,,,,,,,,,,,
1636588800000,614.2,635.2,605.7,628.4,1019740.949,,,,,,0.0,,,656.7,0.0,,,,,,,,,,,,,,,,,,,,
1636675200000,628.4,634.5,602.7,626.9,1012909.088,,,,,,0.0,,,662.9,0.0,,,,,,,,,,,,,,,,,,,,
1636761600000,626.8,655.0,619.6,649.5,900107.757,,,,,,0.0,,,661.102,0.0,,,,,,,,,,,,,,,,,,,,
1636848000000,649.5,661.0,634.5,650.8,933689.139,,,,,,0.0,,,573.0,0.0,,,,,,,,,,,,,,,,,,,,
1636934400000,650.7,659.5,630.3,633.8,953989.634,,,,,,0.0,,,574.76,0.0,,,,,,,,,,,,,,,,,,,,
1637020800000,633.9,635.2,573.7,588.7,2200954.903,,,,,,0.0,,,661.0,0.0,,,,,,,,,,,,,,,,,,,,
