Timestamp,Open,High,Low,Close,Volume
1636156800000,1.1581,1.1828,1.1,1.151,260339849.0
1636243200000,1.1511,1.2374,1.1451,1.2198,371235010.0
1636329600000,1.2198,1.296,1.2192,1.2815,606055941.0
1636416000000,1.2815,1.2884,1.2245,1.2571,465127517.0
1636502400000,1.2572,1.3493,1.1174,1.1902,932520826.0
1636588800000,1.1902,1.2544,1.1764,1.2142,475284132.0
1636675200000,1.2142,1.2332,1.1542,1.1883,446863355.0
1636761600000,1.1884,1.2039,1.167,1.1892,240083101.0
1636848000000,1.1894,1.1995,1.1675,1.1879,192023307.0
1636934400000,1.1879,1.2198,1.1651,1.172,266793400.0
1637020800000,1.172,1.1721,1.0418,1.0877,599544174.0
1637107200000,1.0877,1.113,1.0588,1.0953,383487232.0
1637193600000,1.0953,1.17,1.015,1.0406,698664651.0
1637280000000,1.0406,1.103,1.0174,1.0892,349087574.0
1637366400000,1.0892,1.1015,1.0594,1.0965,251779916.0
1637452800000,1.0965,1.0974,1.0544,1.0569,228064131.0
1637539200000,1.0571,1.071,1.0251,1.0354,307140428.0
1637625600000,1.0354,1.0715,1.0192,1.0661,341407597.0
1637712000000,1.0662,1.0735,1.0068,1.0326,344750680.0
1637798400000,1.0325,1.0647,1.0215,1.0438,312211526.0
1637884800000,1.0439,1.0467,0.9108,0.9394,659982617.0
1637971200000,0.9392,0.9656,0.9336,0.9452,224846313.0
1638057600000,0.9453,0.9692,0.8825,0.9687,336336729.0
1638144000000,0.9687,1.0019,0.9631,0.9898,303393405.0
1638230400000,0.9899,1.0304,0.97,0.9983,340017409.0
1638316800000,0.9984,1.0173,0.9799,0.9899,250291608.0
1638403200000,0.9898,0.9901,0.9545,0.9716,213172250.0
1638489600000,0.9715,0.9838,0.89,0.9211,297172193.0
1638576000000,0.9211,0.9245,0.6,0.8449,1357965897.04
1638662400000,0.8452,0.862,0.769,0.8045,518767360.0
1638748800000,0.8045,0.8303,0.7485,0.8255,508644255.0
1638835200000,0.8256,0.8467,0.8042,0.8154,319504545.0
1638921600000,0.8154,0.8844,0.8026,0.8622,415004580.0
1639008000000,0.8623,0.9361,0.8319,0.8583,684730305.0
1639094400000,0.8583,0.8829,0.7914,0.7992,496512579.0
1639180800000,0.7992,0.8445,0.7844,0.8392,284945414.0
1639267200000,0.8391,0.8572,0.8088,0.8393,224450903.0
1639353600000,0.8394,0.8444,0.7601,0.7818,378446930.0
1639440000000,0.782,0.8214,0.7717,0.8103,352693472.0
1639526400000,0.8102,0.84,0.777,0.8262,354116180.0
1639612800000,0.8262,0.8364,0.8028,0.8051,206133176.0
1639699200000,0.8053,0.8322,0.7754,0.7966,260108143.0
1639785600000,0.7967,0.8347,0.791,0.8262,170671362.0
1639872000000,0.8263,0.8485,0.819,0.835,163876270.0
1639958400000,0.835,0.915,0.8241,0.8798,555435824.0
1640044800000,0.8799,0.961,0.8527,0.9467,471318013.0
1640131200000,0.9466,0.9738,0.923,0.9537,401407051.0
1640217600000,0.9538,1.0167,0.9372,0.9941,479436230.0
1640304000000,0.9941,0.9966,0.8964,0.9115,567234092.0
1640390400000,0.9114,0.935,0.8981,0.9252,250074945.0
1640476800000,0.9252,0.9334,0.9052,0.92,163438501.0
1640563200000,0.92,0.956,0.9141,0.9269,236282371.0
1640649600000,0.9269,0.9269,0.8456,0.8515,321266081.0
1640736000000,0.8516,0.8645,0.81,0.8171,306520880.0
1640822400000,0.8172,0.86,0.802,0.8386,262671659.0
1640908800000,0.8385,0.8545,0.8025,0.8297,239829934.0
1640995200000,0.8298,0.8557,0.8297,0.8507,136976730.0
1641081600000,0.8508,0.8667,0.8372,0.8586,129688032.0
1641168000000,0.8586,0.8587,0.8213,0.8324,178618617.0
1641254400000,0.8324,0.8456,0.7794,0.8228,214415744.0
1641340800000,0.8227,0.8372,0.7092,0.7726,370612510.0
1641427200000,0.7725,0.7909,0.7377,0.7791,307202277.0
1641513600000,0.779,0.7808,0.7287,0.7634,372926762.0
1641600000000,0.7634,0.7768,0.7222,0.7452,253028571.0
1641686400000,0.7452,0.7667,0.7381,0.753,151521399.0
1641772800000,0.753,0.7589,0.6967,0.7399,313080154.0
1641859200000,0.7399,0.7768,0.7306,0.7703,254065075.0
1641945600000,0.7702,0.816,0.757,0.7987,295701910.0
1642032000000,0.7986,0.8024,0.7604,0.768,227833834.0
1642118400000,0.7677,0.8,0.7513,0.7732,221104212.0
1642204800000,0.7733,0.79,0.768,0.7791,138443019.0
1642291200000,0.7791,0.7884,0.768,0.7784,125068081.0
1642377600000,0.7785,0.7805,0.7498,0.7617,181653025.0
1642464000000,0.7616,0.7686,0.7352,0.7509,188367099.0
1642550400000,0.751,0.7533,0.7231,0.7381,190555142.0
1642636800000,0.7381,0.7622,0.7161,0.7199,205931050.0
1642723200000,0.7199,0.7285,0.6112,0.6368,612944841.0
1642809600000,0.6368,0.6542,0.5489,0.5966,769947907.12
1642896000000,0.5966,0.6352,0.59,0.6283,331234207.0
1642982400000,0.6284,0.6286,0.5524,0.6118,513343471.0
1643068800000,0.6118,0.6243,0.5872,0.618,319618429.0
1643155200000,0.6178,0.6586,0.6047,0.6193,466864710.0
