Timestamp,Open,High,Low,Close,Volume
1636070400000,558.8,616.9,554.1,607.3,1989945.5433
1636156800000,607.3,637.8,595.1,637.7,1366385.957
1636243200000,637.7,669.3,630.5,649.6,1476373.2487
1636329600000,649.5,655.7,631.0,653.5,1290096.384
1636416000000,653.6,656.7,631.9,635.0,879119.398
1636502400000,635.0,662.9,573.0,614.1,1814654.086
1636588800000,614.2,635.2,605.7,628.4,1019740.949
1636675200000,628.4,634.5,602.7,626.9,1012909.088
1636761600000,626.8,655.0,619.6,649.5,900107.757
1636848000000,649.5,661.0,634.5,650.8,933689.139
1636934400000,650.7,659.5,630.3,633.8,953989.634
1637020800000,633.9,635.2,573.7,588.7,2200954.903
1637107200000,588.8,592.6,553.7,578.0,1453408.555
1637193600000,577.9,588.2,510.0,531.8,1750338.428
1637280000000,531.9,585.5,523.9,581.0,1300787.958
1637366400000,581.0,604.8,572.6,604.3,1119517.131
1637452800000,604.4,605.2,579.6,584.0,970133.807
1637539200000,584.0,585.5,553.8,559.3,1141002.755
1637625600000,559.4,605.0,557.9,591.1,1202541.917
1637712000000,591.1,594.3,576.8,590.3,1079667.803
1637798400000,590.4,650.0,587.4,639.1,1536194.042
1637884800000,639.1,657.9,564.2,587.3,2413553.439
1637971200000,587.2,621.3,582.6,599.9,1183849.36
1638057600000,599.9,612.9,571.6,611.3,1281130.351
1638144000000,611.4,629.0,601.6,623.4,1090520.864
1638230400000,623.5,635.0,602.6,622.5,1380656.205
1638316800000,622.5,649.8,618.2,627.5,1384101.087
1638403200000,627.5,630.9,605.5,619.9,1104596.881
1638489600000,619.9,628.0,574.0,595.0,1250950.167
1638576000000,595.1,596.0,489.2,568.6,2611783.647
1638662400000,568.5,582.0,539.9,557.8,1258393.72
1638748800000,557.7,593.0,533.0,587.5,2005928.932
1638835200000,587.5,594.1,572.2,578.7,1017363.943
1638921600000,578.7,607.6,567.0,607.2,1113215.449
1639008000000,607.3,617.0,567.7,570.2,1096635.012
1639094400000,570.2,595.1,550.2,552.4,1083121.564
